Trial	SceneName	Position	SceneType	"Top Left (x,y)"	"Top Right (x,y)"	"Bottom Right (x,y)"	"Bottom Left (x,y)"
NounKittyRight	Kitty	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounKittyRight	Kitty	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounStrollerLeft	Stroller	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounStrollerLeft	Stroller	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounStrollerRight	Stroller	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounStrollerRight	Stroller	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounCribLeft	Crib	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounCribLeft	Crib	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounCribRight	Crib	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounCribRight	Crib	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounChairLeft	Chair	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounChairLeft	Chair	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounChairRight	Chair	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounChairRight	Chair	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounBunnyLeft	Bunny	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounBunnyLeft	Bunny	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounBunnyRight	Bunny	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounBunnyRight	Bunny	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounBlickLeft	Blick	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounBlickLeft	Blick	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounBlickRight	Blick	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounBlickRight	Blick	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounLifLeft	Lif	Left	TargetLook	"10,222"	"710,222"	"710,922"	"10,922"
NounLifLeft	Lif	Right	NontargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounLifRight	Lif	Right	TargetLook	"1210,222"	"1910,222"	"1910,922"	"1210,922"
NounLifRight	Lif	Left	NontargetLook	"10,222"	"710,222"	"710,922"	"10,922"
